program,gender,age,height,weight,prev_salary,expected_salary,preferred_organization,Do you LIVE WITH YOUR PARENTS? ,monthly_expenses,transport_mode,transport_cost,entertainment_cost,cellphone_cost,foot_size,alcoholic_drinks_per_week,sleep_hours,How much time in hours do you spend each week on social netorking sites?,study_hours,work_hours,travel_outside_NA,pay_own_tuition,coffees_per_day,height_m,BMI,coffee_per_week,total_monthly_expense
0,0,30.0,165.0,60.0,2000.0,4000.0,. Non-profit or Government Agency,No,500,1. Walk,20,100,70,i don't know,0,8,1,10,40,Yes,Yes,1.0,1.65,22.03856749311295,7.0,5002010070
0,0,25.0,183.0,101.0,3000.0,5000.0,. Large Corporation,Yes,200,2. Public Transport,0,30,90,11,5,7,10,none right now as i am not in classes,20,No,No,1.0,1.83,30.15915673803338,7.0,20003090
0,0,25.0,181.0,70.0,3200.0,4000.0,. Small Company,No,1850,5. Other,80,60,60,9,1,7,8,7,32,Yes,No,2.0,1.81,21.36686914318855,14.0,1850806060
0,0,23.0,185.0,90.0,0.0,5000.0,. Non-profit or Government Agency,Yes,200,2. Public Transport,40,50,40,13,0,12,10,0,20,Yes,No,0.0,1.85,26.296566837107374,0.0,200405040
0,0,25.0,161.0,64.0,2900.0,5400.0,. Large Corporation,Yes,900,2. Public Transport,150,10,50,9.3,0,8,10.5,35,0,Yes,Yes,0.0,1.61,24.690405462752206,0.0,9001501050
0,0,25.0,178.0,80.0,0.0,4000.0,. Small Company,No,900,2. Public Transport,145,20,80,10,2,7,10,20,40,Yes,Yes,2.0,1.78,25.24933720489837,14.0,9001452080
0,0,24.0,170.0,83.0,2316.0,5000.0,. Small Company,Yes,300,3. Drive,50,200,250,10,0,5,8,40,40,Yes,Yes,3.0,1.7,28.719723183391007,21.0,30050200250
16,0,25.0,175.0,80.0,2500.0,4000.0,. Small Company,No,300,3. Drive,250,100,50,12.5,8,7,8- to much ,8 +,40,Yes,Yes,4.0,1.75,26.122448979591837,28.0,30025010050
0,0,30.0,160.0,52.0,3500.0,5000.0,. Small Company,Yes,300,2. Public Transport,150,50,50,9,0,7,7,8,40,Yes,Yes,1.0,1.6,20.312499999999996,7.0,3001505050
0,0,26.0,183.0,86.0,3600.0,4000.0,. Large Corporation,No,"$2,000",5. Other,$0,$200,$60,8,0,8,15,35,40,Yes,Yes,1.0,1.83,25.680074054167036,7.0,"$2,000$0$200$60"
0,0,28.0,170.0,77.0,4200.0,4200.0,. Other,No,2400,2. Public Transport,40,200,60,10,7,8,2,0,8,Yes,No,5.0,1.7,26.643598615916957,35.0,24004020060
0,0,27.0,180.0,77.0,3750.0,4500.0,. Large Corporation,No,2700,3. Drive,40,40,60,9,0,7.5,8,12,40,Yes,Yes,1.0,1.8,23.76543209876543,7.0,2700404060
0,0,30.0,180.0,62.0,4500.0,5500.0,. Large Corporation,No,$2000,3. Drive,$125,$200,$100,8,0,8,4,5,40,Yes,Yes,0.0,1.8,19.1358024691358,0.0,$2000$125$200$100
0,0,31.0,162.0,55.0,4000.0,5000.0,. Large Corporation,No,1500,3. Drive,$10,300,43,9.625,1,8,8,10,40,Yes,Yes,1.0,1.62,20.957171162932475,7.0,1500$1030043
0,0,25.0,178.0,73.0,4000.0,5800.0,. Large Corporation,Yes,400,3. Drive,450,50,80,10,4,6,15,0,40,Yes,Yes,1.0,1.78,23.04002019946976,7.0,4004505080
0,0,27.0,179.0,70.0,0.0,4000.0,. Large Corporation,Yes,1500,5. Other,0,300,60,,10,7.5,0,4,12,Yes,No,0.0,1.79,21.847008520333322,0.0,1500030060
0,0,29.0,165.0,54.0,1800.0,3800.0,. Small Company,Yes,500,2. Public Transport,100,60,33,10,0,7,8,8,32,No,Yes,1.0,1.65,19.834710743801654,7.0,5001006033
0,0,35.0,158.0,65.0,2000.0,5000.0,. Large Corporation,No,2300$,2. Public Transport,90$,200$,45$,6.5,0-1,6-8hrs,2,5,24,Yes,No,0.0,1.58,26.037493991347535,0.0,2300$90$200$45$
0,0,33.0,164.0,54.0,4042.0,4041.0,. Small Company,No,1000,3. Drive,100,300,65,7.5,0,7,10,10,40,Yes,Yes,1.0,1.64,20.077334919690664,7.0,100010030065
0,0,25.0,180.0,79.0,3900.0,4500.0,. Large Corporation,No,1600,3. Drive,80,600,95,10,8,6.75,5,12,45,Yes,Yes,2.0,1.8,24.382716049382715,14.0,16008060095
16,0,24.0,170.0,73.0,2316.0,5000.0,. Small Company,Yes,300,3. Drive,200,300,244,10,0,5,1,40,40,Yes,Yes,4.0,1.7,25.25951557093426,28.0,300200300244
0,0,35.0,158.0,65.0,1500.0,3000.0,. Small Company,No,2000,2. Public Transport,100,300,50,6inches,0-1,6-8hrs,2-3hours,4-5hours,24hours,Yes,Yes,0.0,1.58,26.037493991347535,0.0,200010030050
0,0,22.0,178.0,75.0,5500.0,7000.0,. Large Corporation,No,2000,2. Public Transport,0,400,67,10,1,7.5,8,3,40,No,Yes,2.0,1.78,23.671253629592222,14.0,2000040067
0,0,26.0,181.0,96.0,4800.0,5500.0,. Non-profit or Government Agency,Yes,200,3. Drive,200,50,55,11,5,7,9,5,37.5,Yes,Yes,1.5,1.81,29.303134824944294,10.5,2002005055
0,0,34.0,150.0,64.0,0.0,3000.0,. Small Company,No,$2500,2. Public Transport,$175,$60,$50,5 and 1/2,0,8 hours,10 minutes,3 hours,0,Yes,No,1.0,1.5,28.444444444444443,7.0,$2500$175$60$50
0,0,27.0,181.0,80.0,5000.0,7000.0,. Small Company,No,2500,2. Public Transport,35,25,110,11,3,9,10,5,37,Yes,Yes,0.0,1.81,24.41927902078691,0.0,25003525110
0,0,28.0,168.0,67.0,0.0,6666.0,. Large Corporation,No,2500,3. Drive,100,10,60,9.5,2,6,6,4,45,Yes,Yes,2.0,1.68,23.738662131519277,14.0,25001001060
0,0,34.0,152.0,47.0,4600.0,5400.0,. Non-profit or Government Agency,Yes,$400,2. Public Transport,$20,$20,$50,8.75,0,6,0.5,25,40,Yes,Yes,1.0,1.52,20.342797783933516,7.0,$400$20$20$50
0,0,29.0,163.0,50.0,3500.0,4000.0,. Large Corporation,No,2000,3. Drive,70,400,35,8.75,none,8,5,8,40,Yes,Yes,1.0,1.63,18.818924310286427,7.0,20007040035
